, Open, High, Low, Close, Volume
03/27/23, 194.415, 197.39, 189.94, 191.81, 120851602
03/24/23, 191.65, 192.36, 187.15, 190.41, 116531602
03/23/23, 195.26, 199.31, 188.65, 192.22, 144193906
03/22/23, 199.30, 200.66, 190.95, 191.15, 150376406
03/21/23, 188.28, 198.00, 188.04, 197.58, 153391391
03/20/23, 178.08, 186.44, 176.35, 183.25, 129684398
03/17/23, 184.515, 186.2199, 177.33, 180.13, 133197109
03/16/23, 180.365, 185.81, 178.84, 184.13, 121374492
03/15/23, 180.80, 182.34, 176.03, 180.45, 145995594
03/14/23, 177.31, 183.80, 177.1401, 183.26, 143717906
03/13/23, 167.455, 177.35, 163.91, 174.48, 167790297
03/10/23, 175.13, 178.29, 168.44, 173.44, 191488891
03/09/23, 180.25, 185.18, 172.5124, 172.92, 170023812
03/08/23, 185.04, 186.50, 180.00, 182.00, 151897797
03/07/23, 191.38, 194.20, 186.10, 187.71, 148125797
03/06/23, 198.54, 198.60, 192.30, 193.81, 128100094
03/03/23, 194.795, 200.48, 192.88, 197.79, 154193297
03/02/23, 186.74, 193.7499, 186.01, 190.90, 181979203
03/01/23, 206.21, 207.20, 198.52, 202.77, 156852797
02/28/23, 210.59, 211.23, 203.75, 205.71, 153144891
02/27/23, 202.03, 209.42, 201.26, 207.63, 161028297
02/24/23, 196.325, 197.6695, 192.80, 196.88, 142228094
02/23/23, 203.91, 205.14, 196.33, 202.07, 146360000
02/22/23, 197.93, 201.99, 191.78, 200.86, 191828500
02/21/23, 204.99, 209.71, 197.22, 197.37, 180018594
02/17/23, 199.985, 208.44, 197.50, 208.31, 213738500
02/16/23, 210.78, 217.65, 201.84, 202.04, 229586500
02/15/23, 211.755, 214.66, 206.11, 214.24, 182108609
02/14/23, 191.94, 209.82, 189.44, 209.25, 216455703
02/13/23, 194.415, 196.30, 187.61, 194.64, 172475500
02/10/23, 202.225, 206.20, 192.89, 196.89, 204754094
02/09/23, 207.775, 214.00, 204.77, 207.32, 215431391
02/08/23, 196.10, 203.00, 194.31, 201.29, 180673594
02/07/23, 196.43, 197.50, 189.55, 196.81, 186010297
02/06/23, 193.01, 198.17, 189.92, 194.76, 186188094
02/03/23, 183.95, 199.00, 183.69, 189.98, 232662000
02/02/23, 187.325, 196.7501, 182.61, 188.27, 217448297
02/01/23, 173.89, 183.805, 169.93, 181.41, 213806297
01/31/23, 164.57, 174.30, 162.78, 173.22, 196813500
01/30/23, 178.05, 179.77, 166.50, 166.66, 230878797
01/27/23, 162.43, 180.68, 161.17, 177.90, 306590594
01/26/23, 159.965, 161.42, 154.76, 160.27, 234815109
01/25/23, 141.905, 146.41, 138.07, 144.43, 192734297
01/24/23, 143.00, 146.50, 141.10, 143.89, 158699109
01/23/23, 135.87, 145.3793, 134.27, 143.75, 203119203
01/20/23, 128.68, 133.51, 127.3466, 133.42, 138858094
01/19/23, 127.26, 129.99, 124.3082, 127.17, 170291906
01/18/23, 136.555, 136.68, 127.01, 128.78, 195680297
01/17/23, 125.695, 131.70, 125.02, 131.49, 186476984
01/13/23, 116.55, 122.63, 115.60, 122.40, 180714094
01/12/23, 122.56, 124.1311, 117.00, 123.56, 169400891
01/11/23, 122.09, 125.95, 120.51, 123.22, 183810797
01/10/23, 121.07, 122.76, 114.92, 118.85, 167642500
01/09/23, 118.96, 123.52, 117.11, 119.77, 190284000
01/06/23, 103.00, 114.39, 101.81, 113.06, 220911109
01/05/23, 110.51, 111.75, 107.1601, 110.34, 157986297
01/04/23, 109.11, 114.59, 107.52, 113.64, 180388984
01/03/23, 118.47, 118.80, 104.64, 108.10, 231402797
12/30/22, 119.95, 124.48, 119.75, 123.18, 157777297
12/29/22, 120.385, 123.57, 117.495, 121.82, 221923297
12/28/22, 110.35, 116.27, 108.24, 112.71, 221070500
12/27/22, 117.495, 119.67, 108.76, 109.10, 208643391
12/23/22, 126.37, 128.6173, 121.02, 123.15, 166989703
12/22/22, 136.00, 136.63, 122.26, 125.35, 210090297
12/21/22, 139.335, 141.26, 135.89, 137.57, 145417406
12/20/22, 146.05, 148.47, 137.66, 137.80, 159563297
12/19/22, 154.00, 155.25, 145.82, 149.87, 139390594
12/16/22, 159.635, 160.99, 150.04, 150.23, 139032188
12/15/22, 153.44, 160.9299, 153.28, 157.67, 122334492
12/14/22, 159.25, 161.62, 155.31, 156.80, 140682297
12/13/22, 174.87, 175.05, 156.91, 160.95, 175862703
12/12/22, 176.10, 177.37, 167.52, 167.82, 109794492
12/09/22, 173.84, 182.50, 173.36, 179.05, 104872305
12/08/22, 172.20, 175.20, 169.06, 173.44, 97624484
12/07/22, 175.03, 179.38, 172.218, 174.04, 84213281
12/06/22, 181.215, 183.65, 175.33, 179.82, 92150812
12/05/22, 189.44, 191.27, 180.55, 182.45, 93122672
12/02/22, 191.78, 196.25, 191.11, 194.86, 73645922
12/01/22, 197.08, 198.92, 191.80, 194.70, 80046211
11/30/22, 182.43, 194.76, 180.6301, 194.70, 109186398
11/29/22, 184.99, 186.38, 178.75, 180.83, 83357109
11/28/22, 179.96, 188.50, 179.00, 182.92, 93038148
11/25/22, 185.06, 185.20, 180.63, 182.86, 50672738
11/23/22, 173.57, 183.62, 172.50, 183.20, 109536703
11/22/22, 168.63, 170.92, 166.185, 169.91, 78452328
11/21/22, 175.85, 176.77, 167.54, 167.87, 92882711
11/18/22, 185.05, 185.19, 176.55, 180.19, 76048875
11/17/22, 183.96, 186.16, 180.90, 183.17, 64335969
11/16/22, 191.51, 192.57, 185.66, 186.92, 66567602
11/15/22, 195.88, 200.8237, 192.06, 194.42, 91293789
11/14/22, 192.77, 195.73, 186.34, 190.95, 92226648
11/11/22, 186.00, 196.52, 182.59, 195.97, 114403602
11/10/22, 189.90, 191.00, 180.03, 190.72, 132703000
11/09/22, 190.775, 195.89, 177.12, 177.59, 127062703
11/08/22, 194.02, 195.20, 186.75, 191.30, 128803398
11/07/22, 208.65, 208.90, 196.66, 197.08, 93916523
11/04/22, 222.60, 223.80, 203.08, 207.47, 98622211
11/03/22, 211.36, 221.20, 210.14, 215.31, 56538848
11/02/22, 226.04, 227.8699, 214.82, 214.98, 63070289
11/01/22, 234.05, 237.3951, 227.28, 227.82, 62688820
10/31/22, 226.19, 229.85, 221.94, 227.54, 61554340
10/28/22, 225.40, 228.86, 216.35, 228.52, 69152391
10/27/22, 229.77, 233.81, 222.85, 225.09, 61638820
10/26/22, 219.40, 230.60, 218.20, 224.64, 85327078
10/25/22, 210.10, 224.3498, 210.00, 222.415, 96507875
10/24/22, 205.82, 213.50, 198.5863, 211.25, 100446797
10/21/22, 206.415, 214.66, 203.80, 214.44, 75713750
10/20/22, 208.28, 215.55, 202.00, 207.28, 117798094
